FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
a,1,VER,1 831,0.95,10 092.45,80.04,2 563,0.96,7 016.59,78.46,8 555,0.97,6 015.07,77.79,12 949,0.96,6 539.01,78.16
à,1,PRE,2 616,0.96,14 660.67,81.66,5 326,0.97,14 815.37,81.71,23 951,0.98,16 868.45,82.27,31 893,0.95,15 846.63,82.00
à cloche-pied,13,ADV,1,0.00,0.30,34.73,4,0.41,5.03,47.02,1,0.00,0.03,24.35,6,0.39,1.25,40.98
à contrecœur,12,ADV,,,,,,,,,4,0.42,1.27,41.05,4,0.35,0.77,38.87
à croupetons,12,ADV,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
à jeun,6,ADV,,,,,,,,,7,0.44,2.32,43.66,7,0.37,1.41,41.49
à la saint-glinglin,19,ADV,,,,,,,,,9,0.21,1.54,41.88,9,0.17,0.92,39.65
à l'aveuglette,14,ADV,,,,,1,0.00,0.36,35.59,1,0.00,0.03,24.43,2,0.17,0.20,33.10
à l'improviste,14,ADV,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
à mi-course,11,ADV,,,,,,,,,2,0.21,0.34,35.34,2,0.17,0.20,33.11
à rebrousse-poil,16,ADV,,,,,,,,,2,0.00,0.09,29.60,2,0.00,0.05,26.82
à tâtons,8,ADV,1,0.00,0.61,37.82,,,,,12,0.56,5.02,47.00,13,0.50,3.51,45.45
à tire-d'aile,13,ADV,2,0.00,1.05,40.19,1,0.00,0.25,33.94,6,0.54,2.39,43.79,9,0.51,2.46,43.91
à tue-tête,10,ADV,3,0.43,8.26,49.17,9,0.21,6.14,47.88,10,0.69,5.08,47.06,22,0.60,7.04,48.48
à vau-l'eau,11,ADV,,,,,,,,,2,0.00,0.05,26.95,2,0.00,0.03,24.17
aardvark,8,NP,,,,,4,0.00,1.45,41.61,,,,,4,0.00,0.05,26.89
abaissa,7,VER,,,,,2,0.27,1.93,42.86,8,0.45,2.73,44.36,10,0.46,2.49,43.96
abaissai,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abaissait,9,VER,,,,,,,,,3,0.19,0.51,37.08,3,0.16,0.30,34.82
abaisse,7,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
abaissé,7,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
abaissée,8,ADJ,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
abaissées,9,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abaissent,9,VER,,,,,1,0.00,0.34,35.35,1,0.00,0.02,22.39,2,0.17,0.20,32.99
abaisser,8,VER,,,,,,,,,4,0.42,1.28,41.07,4,0.35,0.77,38.89
abaissés,8,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
abajoues,8,NC,,,,,,,,,2,0.00,0.02,23.72,2,0.00,0.01,20.93
abandon,7,NC,,,,,,,,,7,0.44,2.38,43.77,7,0.37,1.44,41.60
abandonna,9,VER,,,,,,,,,10,0.61,4.50,46.54,10,0.51,2.74,44.37
abandonnai,10,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
abandonnaient,13,VER,,,,,,,,,3,0.33,0.77,38.88,3,0.28,0.47,36.69
abandonnais,11,VER,,,,,1,0.00,0.21,33.29,1,0.00,0.03,24.69,2,0.17,0.20,33.03
abandonnait,11,VER,,,,,,,,,5,0.48,1.84,42.64,5,0.40,1.11,40.47
abandonnant,11,VER,,,,,2,0.27,1.76,42.47,10,0.59,4.38,46.42,12,0.55,3.55,45.50
abandonne,9,VER,1,0.00,0.61,37.86,7,0.45,9.87,49.94,17,0.72,8.95,49.52,25,0.68,8.96,49.52
abandonné,9,ADJ,1,0.00,0.61,37.82,6,0.61,11.00,50.41,37,0.82,22.00,53.42,22,0.66,7.68,48.85
abandonné,9,VER,1,0.00,0.52,37.18,5,0.41,6.52,48.14,15,0.64,7.03,48.47,43,0.74,16.71,52.23
abandonnée,10,ADJ,1,0.00,0.61,37.86,1,0.00,0.20,33.08,6,0.54,2.41,43.82,7,0.44,1.65,42.18
abandonnée,10,VER,1,0.00,0.50,37.03,1,0.00,0.21,33.29,5,0.40,1.52,41.82,8,0.52,2.23,43.49
abandonnées,11,ADJ,,,,,1,0.00,0.19,32.89,6,0.26,1.23,40.89,7,0.29,1.12,40.47
abandonnées,11,VER,,,,,1,0.00,0.20,33.09,1,0.00,0.03,25.43,2,0.17,0.20,33.07
abandonnent,11,VER,,,,,1,0.00,0.20,33.09,9,0.61,4.07,46.10,10,0.54,2.90,44.63
abandonner,10,VER,3,0.43,8.41,49.25,3,0.43,4.04,46.07,30,0.79,17.26,52.37,36,0.74,14.02,51.47
abandonnera,11,VER,,,,,,,,,3,0.33,0.77,38.89,3,0.28,0.47,36.69
abandonnerai,12,VER,,,,,,,,,2,0.21,0.34,35.27,2,0.17,0.20,33.06
abandonnerais,13,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
abandonnèrent,13,VER,3,0.00,1.87,42.72,1,0.00,0.21,33.29,5,0.40,1.57,41.95,9,0.42,2.06,43.13
abandonnerons,13,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
abandonnes,10,VER,,,,,5,0.00,1.02,40.07,1,0.00,0.03,24.41,6,0.11,0.40,36.00
abandonnés,10,ADJ,,,,,,,,,4,0.21,0.71,38.50,4,0.17,0.42,36.26
abandonnés,10,VER,1,0.00,0.42,36.25,,,,,3,0.33,0.79,38.95,4,0.35,0.77,38.85
abandonnez,10,VER,,,,,1,0.00,0.22,33.41,1,0.00,0.02,23.95,2,0.17,0.20,32.99
abandonnons,11,VER,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
abasourdi,9,ADJ,,,,,,,,,7,0.52,2.76,44.41,7,0.44,1.68,42.24
abasourdi,9,VER,,,,,,,,,1,0.00,0.02,22.07,1,0.00,0.01,19.29
abasourdie,10,ADJ,,,,,1,0.00,0.17,32.34,1,0.00,0.03,24.35,2,0.17,0.20,32.98
abasourdie,10,VER,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
abasourdis,10,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abat,4,VER,,,,,1,0.00,0.36,35.59,10,0.65,4.79,46.80,11,0.57,3.35,45.25
abat-jour,9,NC,,,,,4,0.27,3.48,45.42,14,0.59,6.15,47.89,18,0.56,5.35,47.28
abats,5,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abattait,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abattant,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abattement,10,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
abattent,8,VER,,,,,3,0.43,4.19,46.22,3,0.33,0.78,38.92,6,0.45,1.46,41.63
abattirent,10,VER,,,,,,,,,3,0.33,0.76,38.82,3,0.28,0.46,36.63
abattis,7,VER,,,,,,,,,2,0.00,0.07,28.57,2,0.00,0.04,25.79
abattit,7,VER,,,,,1,0.00,0.34,35.35,28,0.72,14.76,51.69,29,0.62,9.55,49.80
abattoir,8,NC,,,,,,,,,2,0.21,0.34,35.33,2,0.17,0.20,33.11
abattoirs,9,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
abattrai,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
abattre,7,VER,1,0.00,0.42,36.25,2,0.00,0.34,35.35,21,0.67,10.38,50.16,24,0.61,7.75,48.89
abattu,6,VER,,,,,2,0.27,1.86,42.69,13,0.66,6.35,48.03,15,0.60,4.82,46.83
abattu,6,ADJ,1,0.00,0.61,37.86,,,,,12,0.55,4.86,46.87,13,0.49,3.41,45.33
abattue,7,ADJ,,,,,1,0.00,0.09,29.77,5,0.48,1.84,42.64,1,0.00,0.00,15.06
abattue,7,VER,,,,,,,,,,,,,5,0.40,1.11,40.47
abattues,8,ADJ,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
abattues,8,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
abattus,7,VER,,,,,3,0.43,4.01,46.03,7,0.52,2.77,44.42,7,0.49,1.84,42.64
abattus,7,ADJ,,,,,,,,,4,0.42,1.29,41.09,7,0.44,1.68,42.26
abbaye,6,NC,,,,,,,,,3,0.00,0.05,27.33,3,0.00,0.03,24.54
abbé,4,NC,,,,,,,,,2,0.21,0.34,35.31,2,0.17,0.20,33.09
abbey,5,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
abcès,5,NC,,,,,,,,,2,0.21,0.33,35.16,2,0.17,0.20,32.95
abd el-kader,12,NP,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
abdallah,8,NP,,,,,,,,,6,0.00,0.14,31.50,6,0.00,0.07,28.72
abdavulocat,11,NP,,,,,,,,,6,0.00,0.10,30.18,6,0.00,0.05,27.40
abdelassem,10,NP,,,,,3,0.00,0.51,37.11,,,,,3,0.00,0.02,22.40
abderrahman,11,NP,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
abdomen,7,NC,,,,,,,,,5,0.40,1.53,41.85,5,0.33,0.93,39.67
abdominaux,10,NC,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
abdou,5,NP,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
abécédaire,10,NC,,,,,,,,,7,0.29,1.54,41.86,7,0.24,0.93,39.67
abeille,7,NC,19,0.48,58.58,57.68,22,0.77,49.65,56.96,57,0.79,32.98,55.18,98,0.80,41.28,56.16
abeilles,8,NC,8,0.68,32.55,55.13,34,0.43,45.57,56.59,41,0.61,18.48,52.67,83,0.64,28.19,54.50
abel,4,NP,,,,,,,,,29,0.00,0.66,38.22,29,0.00,0.35,35.44
abidjan,7,NP,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
abîma,5,VER,,,,,,,,,2,0.00,0.06,27.44,2,0.00,0.03,24.66
abîmait,7,VER,1,0.00,0.61,37.86,,,,,1,0.00,0.03,24.43,2,0.17,0.20,32.97
abîme,5,VER,2,0.00,0.75,38.75,2,0.27,1.88,42.73,7,0.38,2.12,43.26,5,0.33,0.90,39.56
abîme,5,NC,,,,,,,,,1,0.00,0.05,26.54,7,0.32,1.28,41.07
abîmé,5,VER,4,0.22,7.02,48.46,3,0.43,4.04,46.07,4,0.42,1.26,40.99,11,0.53,3.07,44.88
